clean_text,lexical_diversity,repetition_ratio,generated
car car famous henri ford creat built modelt car play major role day live peopl start question limit car usag good thing limit use car good thing like matter articl german suburb life goe car elizabeth rosenth state automobil linchpin suburb middl class famili shanghai chicago tend make home expert say huge impedi current effort reduc greenhous gas emiss tailpip passeng car respons percent greenhous gas emiss europ percent carintens area unit state car main reason greenhous gas emiss lot peopl drive time need articl pari ban drive smog robert duffer say pari day nearrecord pollut enforc partial drive ban clear air global citi say monday motorist evennumb licens plate order leav car home fine euro fine order appli oddnumb plate follow day car reason pollut entir citi like pari bad car pollut caus entir citi likewis articl carfre day spin big hit bogota andrew selski say program set spread countri million columbian hike bike skate took bus work carfre day leav street capit citi eerili devoid traffic jam straight year car ban buse taxi permit day car capit citi million peopl like idea carfre day allow lesson pollut car exhaust peopl drive time articl tell park sport center bustl citi uneven pit sidewalk replac broad smooth sidewalk rushhour restrict dramat cut traffic new restaur upscal shop district crop car good countri columbia aloud repair thing need repair long time traffic jam gone restaur shop district pop fact car conclus use car carfre day big impact environ citi cut air pollut car major pollut aloud countri like columbia repair sidewalk cut traffic jam limit use car good thing america limit use car mayb ride bike mayb walk far need use car limit use car good thing,0.5699300699300699,0.4300699300699301,0
transport larg necess countri worldwid doubt car buse mean transport make place place easier faster negat pollut mobil transport huge daili live endang earth harm greenhous gase suppress small suburb communiti germani vauban start carfre lifestyl citi market store place nearbi home instead locat farend highway vauban complet carfre vauban famili car larg famili state sold car vauban famili said stress depend car transport car respons greenhous gase carintens area unit state insight reduc car zone bring pari incid smog pari offici creat fact lower smog rate monday motorist evennumb licens plate number order leav car home suffer fine rule occur tuesday motorist oddnumb licens plate target fine congest traffic reduc day intens smog diesel fuel play huge pollut fact vehicl franc diesel fuel impact clear smog resid ban tuesday rule odd licens plate imagin day singl car use phenomenon occur year bogota colombia buse taxi use car left unattend entir day carfre day year reduc pollut slight day car campaign origin bogota mid campaign renew construct numer bicycl path sidewalk citi park sport center sprung campaign devot time carfre lifestyl hassl hindsight benefit conclud live carfre lifestyl like possibl day age manag use car pollut countri time invest think impact worldwid airpollut reduct mobil transport lifestyl sens depend car mean transport impact health earth,0.627906976744186,0.37209302325581395,0
america love affair vehicl cool say elisabeth rosenth understand rosenth perspect easier suggest america car usag decreas slowli necessarili bad sens certain posit effect advantag limit car usag includ increas secur health decreas pollut depend car usag limit secur health like guarante feel secur high import individu exampl peopl colombia use public transport car free day leav street capit citi accord andrew selski eerili devoid traffic jam complic stem traffic jam end feel confid plan point simpl second ago complic person plan lead stress feel doubt overcom thought car usag limit control traffic accumul minim chanc stress heidrun walter state car tens happier way car usag minim condit detriment health enlarg capac exercis main purpos car place import job person life difficult thing enjoy life limit car usag forc stay shape accord andrew selski park sport center bloom citi car mean healthier natur situat park sport center effici easier physic activ popul overal usag car minim stress increas health second limt car usag benefici environ day peopl annoy care passion environ look constant cri action solid fact yespollut bad environ yes bad envor mean unhealthi live yes car main contributor pollut environ pattern car usag elisabeth rosenth state benefici implic carbon emiss environ use car pollut environ observ limit car usag opportun creat cleaner world better futur effect pollut environ completley danger car user blame addit lower depend car peopl today car use featur form transport figur posses develop peopl interact technolog left wide gap histor natur way thought modern societi depend good individu david goldberg say develop world war center car chang peopl disagre wonder necessari chang way especi high devlop develop mean depend harm machin effect devlop accord elisabeth rosenth cashstrap american afford new car unemploy work peopl precious luxuri privat transport place distant natur societi peop use car oblivi signific effect limit car usag effct control conclud advantag limit car usag increas health decreas pollut depend car limit car usag posit way enfor organ clean environ ensur health secur live reason america reffer succes countri america decreas use vehicl fact best major,0.5652173913043478,0.4347826086956522,0
ride car drive motor vehicl work store mall thought peopl world exact thing travel destin use fuel power motorvehicl peopl realiz intens damag turn key ignit drive work today like regular car user thought surviv car run mind possibl live main mean transport look citi like cuban pari bogota way restrict peopl usag car actual enjoy limit car usag intern result advantag benefit communiti recogn benefit car usag posit consequ health sourc heidrun walter state car tens happier think imagin angri road rage experi drive sure posit effect mood health drive copious focus mental activ tri navig deal bad driver short period time stress tire citi like new york pari popul high lead congest street excess pollut warm layer air accord robert duffer pari ban drive smog trap car emiss healthi state pari enforc temporari drive ban pollut level reach time record day drive pollut went way peopl drive mean transport includ walk bike skate destin physic excercis bodi work mental feel fresher sit car break drive help overal look citi pollut caus flower grow certain smell nice set filter town dirti vibe drive nasti pollut emit lead cleaner communiti elisabeth rosenth articl german suburb life goe car good point restrict car motor vehicl transport walker ton peopl sidewalk instead road need pathway closer store walk distanc andrew selski state park sport center bloom citi uneven pit sidewalk replac broad smooth sidewalk new restaur upscal shop district crop state previous pollut benefit environ organ envronment protect agenc promot car reduc communiti say rosenth communiti far pollut cleaner citi promot idea day devot nocar drive bogota colombia hold anual carfre day buse taxi permit driver fine fine use posess ruffl feather success turn signific reduc smog conclus idea precious automobil walk destin sound imposs reduc drive lead benefit advantag daili live includ increas health improv look citi improv environ,0.672077922077922,0.32792207792207795,0
car wonder thing world greatest advanc technolog car point point exact want isnt human want place anther fast possiil car suitail citi matter minut faster anyht train isnt citi fast car puilic ius iut form transport way wrong car aisolut amaz thing iut mayi caus way stress mayi hurt environ way think ius train worri aiout wash car frustrat stuck iad traffic jam pollut air hurt environ think iut advantag limit car usag advantag human ienefit iut plant anim lot pollut air hurt environ right car gase extrem harm environ gase green hous gase come exhaust pipe car car docent gas iut collect car enorm gase especi true iig citi like franc franc pollut level high record ireak franc decid enforc partial ian car descrii second articl pari ian drive smog roiert duffer monday motorist evennumi licens plate orderd leav car home suffer euro fine appli oddnumi plate follow day franc limit drive congest percent congest percent capit franc day intens smog percent clear use car littl world bogota columiia limit drive reduc smog level articl carfre day spin iig hit bogota andrew selski descrii annual carfre day reduc smog goal promot altern transport reduc smog world peopl reliz car insur safeti environ second advantag come limit car use stress know drive car caus emenc stress caught traffic major caus stress someon life repeat wash car dirt caus stress peopl iack car scream yell music ilast caus stress oivious drive caus stress limit car usag stress usual traffic car wash scream small confined space articl german suiuri life goe car elisaieth rosenth citizen humdrum walter state car tens happier way stress car humdrum walter looser happier person stress equal happier person articl carfre dai spin iig hit bogota andrew selski state good opportun away stress opportun away stress huge advantag live limit drive away stress want stress need stress opportun stress away opportun conclus advantag limit car use theat help environ help reduc stress environ screw way help iecom healthi environ stress proven impar person health want unhealthi want stress life want environ ietter want reduc stress life advantag impliment think advantag iut explain clear advanteg ieen prove help enviorn reduc stress limit car use effect advantag realli work place,0.5027027027027027,0.4972972972972973,0
electrol colleg unfair peopl right select presid dont right select presid peopl vote technic vote elector candi candid democrat republican sourc state elector choos oppos candid declin vote process vote vote select leader defend countri make america place opportun import reason electrol cllege unfair winner rule american peopl choos govern say sourc voter vote vote candid elector state vote elector choos want presid sourc state elector colleg consist elector elector vote order pick presid sourc state number elector equal member congress propos new let american peopl select presid vote count state exampl elector colleg fair vote peopl vote count number add vote candid oppos candid technic tie elector colleg vote equal fair major state exampl chose republican candid vagu peopl choos democrat vote realli count elector colleg everyon vote count candid vote elector sourc say elector select state choos oppos candidtad disatvantg american peopl america futur exampl state candid choosen republican faithless say sourc chose democrat parti unfortun republican point vote republican support vote come year import american peopl choos want futur america sourc state rule winner vote lose win vote lose count peopl realli didnt mean vote candid want candid dont support like money fell floor took know conclus state senat elimin elector colleg count majorti vote count vote popular candid vote decid vote candit want base opinion belief winner bascial lose candid elector vote,0.39823008849557523,0.6017699115044248,0
dear state senat utmost respect ask method presidenti elect chang elector colleg suitabl opinion peopl elector colleg unfair peopl allow individu decid vote peopl unit state america revis elector colleg like bad idea good come bad elect presid base direct voter candid promis money peopl vote himher problem direct democraci happen chanc tie break tie decid fair elector colleg remov definit revis elector colleg permit power elector vote choos elector colleg unfair voter winnertakeal whichh caus candid focus state swing state campaign seventeen state candid elector colleg outofd need replac revis run presid candid group elector candid group elector provid visit state nget vote thing presid requir wait realiti presid need campaign elector colleg vote matter candid bribe elector certain state hesh state vote voter vote candid vote slate elector elector pick state convent state parti central committe presidenti candid biggest issu elector colleg disast factor disast factor potenti problem segregationist louisiana legislatur near succeed replac democrat elector new elector oppos john kennedi elector colleg outdat way elect elector colleg power indivdu hand peopl creat educ close method vote representit vote presdient obsolet,0.5573770491803278,0.4426229508196722,0
fellow citizen car major role daili live excel use advantag limit usag environment healthier money spend let explain smart choic advantag limit usag car pari recent accord sourc articl pari ban drive smog robert duffer came brilliant idea partial drive ban clear air citi took day odd licens plate car drive suffer fine public transit free week promot congest smog better environ lower pollut ozon layer cheaper way commut congest percent capit franc fiveday intensifi smog rival beij china known pollut citi world hand smog gotten limit car use manag clear half make world greener place vauban germani resid went far car accord sourc articl german suburb life goe car elisabeth rosenth resid longer car expens edg town general forbidden experi new district far say better car tens happier way said heidrun walter resid vauban accord articl peopl general especi younger generat use car liscen comparison older peopl like retain licens age shown research peopl care car driven focus point point simpli mean transport sourc articl end car cultur elisabeth rosenth come car transport plenti mean transport free cheaper buse train bike car pool time creat pollut congest make environment healthier,0.6858638743455497,0.31413612565445026,0
offici elector colleg unfair outdat irrat plumer sourc like elector colleg reason disast plain dumb reason elector colleg kept avoid runoff elect big state favor weigh favor peopl despis elector colleg favor popular vote better choic various reason elector colleg unfair everyon decis count peopl elector colleg popular vote elect everyon vote count consid better hold author peopl peopl sneaki chang vote favor choic presid bribe peopl count today outdat way past time hard say bob dole right abolsi elector colleg plumer sourc agre statement true instead let bunch monkey run state countri pretti sure better job offic right percent voter prefer direct elect kind plumer sourc day continu percentag continu grow data record elector colleg irrat like idiot person came say monkey better elector colleg voter vote presid slate elector turn elect presid elector hold public offic pick elector place depend state state convent state parti central committe soemtim presidenti candid voter control elector vote voter confus elector vote wrong candiat plumer sourc know statement say simpli want popular vote read know elector colleg vote help caus problem problem easi fix popular vote offici elector colleg unfair outdat irrat plumer sourc,0.5260416666666666,0.47395833333333337,0
elector colleg kept centuri establish father establish constitut think process maintain far work fine reason rid elector colleg continu use main scenario help reason way elector colleg danger use unless elector complet faith parti advantag choos place vote basic voter vote slate elector elect presid elector peopl major vote decid vote possibl state send slate elector elect elect direct vote chanc tie happen elector colleg possibl state candid major peopl live belong singl parti winnertakesal complet affect elect direct vote candid visit state order gather vote possibl reason elector colleg abolish time thing consid argument swing state basic decid elect thought voter know decid elect pay attent news candid campaign swing state receiv inform attent candid end decid candid want state predict elect major parti voter think want run countri best posit grant honor make decis elector vote help avoid runoff elect reduc pressur complic elect say govern refer direct vote lesser known elector colleg comparison presidenti elect happen problem popular vote versus elector colleg complic avoid use elector colleg happen nixon clinton plural popular vote win elector colleg elector colleg unwant minor voter state lean complet way voter hard pay attent campaign know vote hard make difffer state voter vote swing complet elect popul vote elect voter usual like express prefer known decid vote make elect like vote count educ happen govern mayb vote make differ,0.4933920704845815,0.5066079295154184,0
